Feature,beta_Group,t_value,p_value,F_value,p_F_ancova,N,Metric_Group,p_FDR
temporal_fraction_CAP-1,-0.011524687014250263,-2.426473674092664,0.015619900986057396,5.887774491064753,0.01561990098605738,478,temporal,0.021867861380480354
temporal_fraction_CAP-2,0.0013330201518347434,0.36102886881390067,0.7182393982176937,0.13034184411704466,0.7182393982176937,478,temporal,0.7182393982176937
temporal_fraction_CAP-3,-0.009686194687490143,-2.4513999639091724,0.01459166478874378,6.009361783053892,0.014591664788743781,478,temporal,0.021867861380480354
temporal_fraction_CAP-4,0.019820998131329846,4.222400357860237,2.9008318736002294e-05,17.828664782058254,2.900831873600237e-05,478,temporal,0.00020305823115201606
temporal_fraction_CAP-5,0.017855861926735283,3.642010392913407,0.00030046961828376646,13.264239702089267,0.0003004696182837664,478,temporal,0.0010516436639931826
temporal_fraction_CAP-6,-0.006341991840042941,-1.5713238542523618,0.11677751808658215,2.4690586549424975,0.11677751808658215,478,temporal,0.1362404377676792
temporal_fraction_CAP-7,-0.011457006668117982,-2.6970506526534126,0.007245942989406831,7.2740822229782,0.007245942989406826,478,temporal,0.01690720030861594
transition_frequency,-0.6065013425148453,-0.3358264841520681,0.7371509440417581,0.11277942745793926,0.7371509440417581,478,transition,0.8190566044908423
transition_probability_1.1,-0.008662833301765429,-0.893818330741774,0.3718746160114351,0.7989112083700112,0.3718746160114353,478,transition,0.6411631310541985
transition_probability_1.2,0.0022362020510004305,0.48342619240368856,0.6290173308075132,0.23370088350192808,0.6290173308075133,478,transition,0.802525385469733
transition_probability_1.3,0.0005009603231461631,0.12426685847582265,0.9011568897935864,0.015442252115450134,0.9011568897935864,478,transition,0.9387050935349859
transition_probability_1.4,0.006519861321623931,1.3860945027291927,0.16637250318550223,1.9212579704960882,0.16637250318550212,478,transition,0.3961250075845291
transition_probability_1.5,0.014274622000292126,3.4488718971160495,0.0006133889672725244,11.894717362716857,0.0006133889672725244,478,transition,0.006706081696514393
transition_probability_1.6,7.140885081404489e-05,0.01812423146158881,0.9855474058886905,0.00032848776607324567,0.9855474058886905,478,transition,0.9855474058886905
transition_probability_1.7,-0.014940221245112878,-3.7919996286445903,0.00016883100235935762,14.37926118364071,0.00016883100235935805,478,transition,0.006121729640613373
transition_probability_2.1,-0.012313609682814839,-3.3729993197157837,0.0008047298035817271,11.37712441080314,0.0008047298035817271,478,transition,0.006706081696514393
transition_probability_2.2,-0.006539193623455897,-0.8000754520296499,0.4240695686826589,0.6401207289404487,0.4240695686826589,478,transition,0.6626087010666545
transition_probability_2.3,0.0014480088898108229,0.5331982479803558,0.594147318108162,0.2843003716493209,0.594147318108162,478,transition,0.7817727869844237
transition_probability_2.4,0.013569901964746488,3.588530211378889,0.0003673037784368024,12.877549077979014,0.0003673037784368024,478,transition,0.006121729640613373
transition_probability_2.5,0.009641982368197008,2.1013740547866293,0.036137695793207365,4.415772918130399,0.0361376957932074,478,transition,0.16426225360548802
transition_probability_2.6,-0.0016571060815356762,-0.436781805224622,0.6624693384268092,0.1907783453752796,0.6624693384268093,478,transition,0.802525385469733
transition_probability_2.7,-0.0041499838349492975,-1.0024241601616783,0.3166523965865868,1.0048541968758462,0.3166523965865868,478,transition,0.6331424403822308
transition_probability_3.1,-0.001486274722070823,-0.42076072222347327,0.6741213237945757,0.1770395853660188,0.6741213237945758,478,transition,0.802525385469733
transition_probability_3.2,0.0010367783986265674,0.42754188780273494,0.6691796660554798,0.18279206582592636,0.6691796660554798,478,transition,0.802525385469733
transition_probability_3.3,-0.006672755932301415,-0.8224931704698211,0.41121158495477117,0.6764950154694981,0.41121158495477117,478,transition,0.6626087010666545
transition_probability_3.4,0.01231132304200604,3.59898586145204,0.00035322947352063583,12.952699230931682,0.00035322947352063583,478,transition,0.006121729640613373
transition_probability_3.5,0.004524539040251507,1.1057518541818432,0.26939722354718765,1.222687163026584,0.26939722354718765,478,transition,0.58564613814606
transition_probability_3.6,-0.0073859989348821035,-2.064325404486667,0.0395326880771529,4.261439375609042,0.0395326880771529,478,transition,0.16471953365480374
transition_probability_3.7,-0.002327610891631355,-0.5351540563852033,0.5927953635926164,0.2863898640655373,0.5927953635926164,478,transition,0.7817727869844237
transition_probability_4.1,-0.012334585263871344,-3.4097066699847667,0.0007061124509228933,11.626099575338607,0.0007061124509228933,478,transition,0.006706081696514393
transition_probability_4.2,0.0021409322157549186,0.603403072730003,0.5465304265765532,0.36409526818000937,0.5465304265765532,478,transition,0.7602433924129688
