Feature,subject_id,Condition_encoded,Fitted,Residuals
counts_CAP-1,273,0,24.07946946678948,11.92053053321052
counts_CAP-1,276,0,22.493054450152158,-2.493054450152158
counts_CAP-1,281,0,23.258941910855828,3.741058089144172
counts_CAP-1,285,0,24.298282806783625,-1.2982828067836252
counts_CAP-1,287,0,23.156007184873513,-1.1560071848735127
counts_CAP-1,297,0,24.636872428469857,5.363127571530143
counts_CAP-1,334,0,25.446171520624443,-0.44617152062444276
counts_CAP-1,339,0,22.04590268054681,-3.04590268054681
counts_CAP-1,341,0,22.544046717439073,-4.544046717439073
counts_CAP-1,345,0,26.079291965138417,4.920708034861583
counts_CAP-1,346,0,21.131138565399056,-8.131138565399056
counts_CAP-1,396,0,21.835680192183236,-8.835680192183236
counts_CAP-1,411,0,23.52860387364629,-1.52860387364629
counts_CAP-1,433,0,23.028804142120446,6.971195857879554
counts_CAP-1,435,0,24.810378972033263,8.189621027966737
counts_CAP-1,441,0,25.64720649790013,4.352793502099871
counts_CAP-1,449,0,23.054571051896854,-4.054571051896854
counts_CAP-1,451,0,22.941289357257325,-8.941289357257325
counts_CAP-1,462,0,24.09008902952064,3.909910970479359
counts_CAP-1,470,0,22.422282949919634,-3.4222829499196337
counts_CAP-1,471,0,22.63674298497219,5.363257015027809
counts_CAP-1,475,0,22.996984451361342,2.0030155486386576
counts_CAP-1,476,0,23.28836518355132,4.711634816448679
counts_CAP-1,478,0,22.871472496457535,0.12852750354246467
counts_CAP-1,483,0,24.38902714607297,-0.3890271460729693
counts_CAP-1,500,0,24.583392590713526,4.416607409286474
counts_CAP-1,507,0,23.616897754728903,7.383102245271097
counts_CAP-1,511,0,22.048695430196165,-3.0486954301961653
counts_CAP-1,513,0,21.571607215130168,-1.571607215130168
counts_CAP-1,517,0,23.348756118093,0.6512438819069999
counts_CAP-1,518,0,22.260904869141818,-2.260904869141818
counts_CAP-1,520,0,22.491813413562003,1.508186586437997
counts_CAP-1,521,0,23.014998709967195,-1.0149987099671947
counts_CAP-1,522,0,22.580447022086286,2.419552977913714
counts_CAP-1,525,0,24.26146178062385,-1.2614617806238506
counts_CAP-1,526,0,22.352337286012787,-5.352337286012787
counts_CAP-1,527,0,23.239330079153902,-6.239330079153902
counts_CAP-1,528,0,20.955960154361513,-2.955960154361513
counts_CAP-1,538,0,25.385949664273763,3.614050335726237
counts_CAP-1,539,0,22.188898100441687,-5.188898100441687
counts_CAP-1,540,0,23.02506012224276,-1.0250601222427598
counts_CAP-1,541,0,22.902190700081483,0.0978092999185165
counts_CAP-1,549,0,22.284397109360597,0.7156028906394027
counts_CAP-1,553,0,25.774767375839026,11.225232624160974
counts_CAP-1,566,0,23.94673092817735,1.0532690718226512
counts_CAP-1,567,0,22.656630964876282,5.343369035123718
counts_CAP-1,571,0,23.16663609418434,-5.166636094184341
counts_CAP-1,574,0,23.185084233444165,-2.185084233444165
counts_CAP-1,575,0,24.420071440824653,6.579928559175347
counts_CAP-1,578,0,23.244568902749894,3.7554310972501064
counts_CAP-1,579,0,21.84804797769819,-3.84804797769819
counts_CAP-1,582,0,25.227200187338923,5.772799812661077
counts_CAP-1,583,0,23.748238039466482,1.2517619605335177
counts_CAP-1,589,0,22.87505677060185,4.1249432293981485
counts_CAP-1,592,0,21.44011630303219,-2.440116303032191
counts_CAP-1,593,0,22.361309694486486,-3.3613096944864864
counts_CAP-1,595,0,22.54502200184822,-0.5450220018482206
counts_CAP-1,596,0,23.01253343719654,-2.0125334371965415
counts_CAP-1,597,0,22.04920425428717,-2.0492042542871687
counts_CAP-1,598,0,23.118642920693343,0.8813570793066567
counts_CAP-1,602,0,22.68655394084733,-6.686553940847329
counts_CAP-1,603,0,23.11574128627892,-1.1157412862789187
counts_CAP-1,605,0,25.93528325131757,16.06471674868243
counts_CAP-1,609,0,22.0950647846017,-9.0950647846017
counts_CAP-1,610,0,22.827045668287987,1.1729543317120132
counts_CAP-1,614,0,22.492463586739383,-5.492463586739383
counts_CAP-1,615,0,23.20070541217137,3.79929458782863
counts_CAP-1,616,0,23.97753315762391,9.02246684237609
counts_CAP-1,623,0,24.509390059898674,-2.5093900598986743
counts_CAP-1,629,0,25.19902913709557,14.800970862904428
counts_CAP-1,634,0,25.765533058486007,5.234466941513993
counts_CAP-1,640,0,23.663676186932353,-0.6636761869323529
counts_CAP-1,644,0,24.412735693336067,-9.412735693336067
counts_CAP-1,645,0,23.069744958432917,-2.069744958432917
counts_CAP-1,646,0,22.044141196644816,0.9558588033551842
counts_CAP-1,650,0,24.26860994932768,-5.268609949327679
counts_CAP-1,651,0,22.849425093720644,-0.8494250937206438
counts_CAP-1,653,0,26.398442926445853,2.6015570735541473
counts_CAP-1,654,0,22.264634905942508,-3.2646349059425077
counts_CAP-1,655,0,24.027183337690566,3.972816662309434
counts_CAP-1,658,0,22.211468167652683,-0.21146816765268284
counts_CAP-1,666,0,24.125092245370922,1.8749077546290778
counts_CAP-1,667,0,24.466679467600667,2.5333205323993333
counts_CAP-1,670,0,24.80910459172968,10.190895408270318
counts_CAP-1,672,0,23.47738296527653,-5.477382965276529
counts_CAP-1,674,0,24.133201216165688,11.866798783834312
counts_CAP-1,677,0,24.91145735355017,1.088542646449831
counts_CAP-1,681,0,22.296473561314226,-2.296473561314226
counts_CAP-1,686,0,25.748264462723117,2.2517355372768826
counts_CAP-1,689,0,24.6883261276284,0.3116738723715997
counts_CAP-1,690,0,25.16733129228539,-4.16733129228539
counts_CAP-1,692,0,24.96856694643651,7.0314330535634895
counts_CAP-1,694,0,22.38079235455649,-10.38079235455649
counts_CAP-1,698,0,24.752330081824564,1.2476699181754363
counts_CAP-1,702,0,22.22805661196483,-3.2280566119648313
counts_CAP-1,703,0,23.713373986133814,0.28662601386618647
counts_CAP-1,705,0,22.37737392505855,-3.3773739250585493
counts_CAP-1,706,0,21.943756955965732,-7.943756955965732
counts_CAP-1,709,0,22.80079008323037,3.199209916769629
counts_CAP-1,710,0,22.357609515018137,-4.357609515018137
counts_CAP-1,711,0,24.063464777919915,-0.0634647779199149
counts_CAP-1,714,0,24.613680184471995,-5.6136801844719955
counts_CAP-1,716,0,23.96719298977803,9.032807010221969
counts_CAP-1,719,0,22.758733884967835,-2.7587338849678353
counts_CAP-1,720,0,23.055047275003613,-7.055047275003613
counts_CAP-1,724,0,22.24565329582237,-1.2456532958223683
counts_CAP-1,727,0,23.26508611332822,-0.26508611332821985
