Metric,Feature,Analysis_Type,N,beta,t_value,p_value,p_FDR
transition_probability,2.6,Cross-sectional,478,-0.0016571060815356762,-0.436781805224622,0.6624693384268092,0.802525385469733
transition_probability,2.7,Cross-sectional,478,-0.0041499838349492975,-1.0024241601616783,0.3166523965865868,0.6331424403822308
transition_probability,3.1,Cross-sectional,478,-0.001486274722070823,-0.42076072222347327,0.6741213237945757,0.802525385469733
transition_probability,3.2,Cross-sectional,478,0.0010367783986265674,0.42754188780273494,0.6691796660554798,0.802525385469733
transition_probability,3.3,Cross-sectional,478,-0.006672755932301415,-0.8224931704698211,0.41121158495477117,0.6626087010666545
transition_probability,3.4,Cross-sectional,478,0.01231132304200604,3.59898586145204,0.00035322947352063583,0.006121729640613373
transition_probability,3.5,Cross-sectional,478,0.004524539040251507,1.1057518541818432,0.26939722354718765,0.58564613814606
transition_probability,3.6,Cross-sectional,478,-0.0073859989348821035,-2.064325404486667,0.0395326880771529,0.16471953365480374
transition_probability,3.7,Cross-sectional,478,-0.002327610891631355,-0.5351540563852033,0.5927953635926164,0.7817727869844237
transition_probability,4.1,Cross-sectional,478,-0.012334585263871344,-3.4097066699847667,0.0007061124509228933,0.006706081696514393
transition_probability,4.2,Cross-sectional,478,0.0021409322157549186,0.603403072730003,0.5465304265765532,0.7602433924129688
transition_probability,4.3,Cross-sectional,478,0.004018535428473284,1.1260742083150852,0.2607063252805971,0.58564613814606
transition_probability,4.4,Cross-sectional,478,0.011317249223531032,1.567708624702458,0.11761928238800376,0.3463444468870662
transition_probability,4.5,Cross-sectional,478,0.00048153897348845505,1.5586760493447833,0.11974329316190388,0.3463444468870662
transition_probability,4.6,Cross-sectional,478,-0.0025387178080076476,-0.6733102803790203,0.5010794551100247,0.7592112956212496
transition_probability,4.7,Cross-sectional,478,-0.0030849527693701927,-0.8033231608107464,0.42219232248772576,0.6626087010666545
transition_probability,5.1,Cross-sectional,478,-0.0035200868530350657,-0.9417827270445075,0.34678564940419976,0.6411631310541985
transition_probability,5.2,Cross-sectional,478,0.0023173284778672497,0.6021322508249448,0.5473752425373375,0.7602433924129688
transition_probability,5.3,Cross-sectional,478,-0.00943388971686046,-2.6445333420097294,0.00845293006728237,0.05283081292051481
transition_probability,5.4,Cross-sectional,478,0.0003800327195116251,1.000657706524086,0.3175050360642026,0.6331424403822308
transition_probability,5.5,Cross-sectional,478,0.013942279648648912,1.971700697794908,0.04922731798662831,0.17980370856231448
transition_probability,5.6,Cross-sectional,478,-0.0023383049862797218,-0.9766675266916419,0.32923406899876,0.6331424403822308
transition_probability,5.7,Cross-sectional,478,-0.0013473592898542218,-0.3739314022035217,0.7086232627962307,0.8052537077229894
transition_probability,6.1,Cross-sectional,478,0.0005137604271973945,0.09942919422668281,0.9208397184572269,0.9396323657726805
transition_probability,6.2,Cross-sectional,478,-0.0008362683687076903,-0.16997168014383685,0.8651052355424886,0.920324718662222
transition_probability,6.3,Cross-sectional,478,-0.008957760594010166,-1.6052241948263282,0.10911329548905885,0.3463444468870662
transition_probability,6.4,Cross-sectional,478,0.007827033881365285,1.5260745782845235,0.12766106918110445,0.3463444468870662
transition_probability,6.5,Cross-sectional,478,0.005869195049079036,1.4314518409771828,0.1529625520922259,0.3824063802305647
transition_probability,6.6,Cross-sectional,478,-0.0028886336394096535,-0.28294114422587585,0.7773459976246735,0.8449413017659494
transition_probability,6.7,Cross-sectional,478,-0.0015273267555155827,-2.3347621052380982,0.01997424319461235,0.1109680177478464
transition_probability,7.1,Cross-sectional,478,-0.00841606352475543,-2.2135665317645246,0.027336024710898132,0.13668012355449066
transition_probability,7.2,Cross-sectional,478,0.0025417665923358774,0.625196925478428,0.5321439565101946,0.7602433924129688
transition_probability,7.3,Cross-sectional,478,-0.006698210937924473,-1.5103985959667259,0.13161088981708516,0.3463444468870662
transition_probability,7.4,Cross-sectional,478,0.008010038109976404,1.9620397858082397,0.050345038397448055,0.17980370856231448
transition_probability,7.5,Cross-sectional,478,0.012615229377899523,2.6572866716082904,0.008144308763275243,0.05283081292051481
transition_probability,7.6,Cross-sectional,478,-0.00017841305521345839,-0.3956177540912026,0.692565788059246,0.8052537077229894
transition_probability,7.7,Cross-sectional,478,-0.007874346562319917,-0.8939388246410033,0.3718102065382204,0.6411631310541985
counts,CAP-1,Longitudinal,470,-0.2786814679492623,-0.5150178693414972,0.6065405331301266,0.6065405331301266
counts,CAP-2,Longitudinal,470,0.8259250419321481,1.944279571866558,0.051861746703054025,0.07260644538427563
counts,CAP-3,Longitudinal,470,0.5282291227379159,1.314192272241807,0.18878150840792107,0.2202450931425746
counts,CAP-4,Longitudinal,470,1.9710546770066821,4.3569268542260495,1.31901322928762e-05,9.23309260501334e-05
counts,CAP-5,Longitudinal,470,1.9231430714568387,4.088019566575225,4.3507146511686784e-05,0.00015227501279090375
counts,CAP-6,Longitudinal,470,-1.4545353236067704,-3.185475757430567,0.0014451621135831802,0.0033720449316940876
counts,CAP-7,Longitudinal,470,-1.0042446394300497,-2.079850055683262,0.037539288230244765,0.06569375440292834
persistence,CAP-1,Longitudinal,470,-0.05649964505657622,-1.4112903574936155,0.15815901651034547,0.27304730395580196
persistence,CAP-2,Longitudinal,470,-0.04599923713152415,-1.2958307876574084,0.19503378853985853,0.27304730395580196
persistence,CAP-3,Longitudinal,470,-0.022266656483686385,-0.49803150788042055,0.6184618345423649,0.6184618345423649
persistence,CAP-4,Longitudinal,470,0.07305220121329863,1.1545283075846533,0.24828363993611235,0.2896642465921311
persistence,CAP-5,Longitudinal,470,0.08308423495070835,1.3761122039963107,0.16878689777309164,0.27304730395580196
persistence,CAP-6,Longitudinal,470,-0.19973448644073646,-3.8538751851540884,0.00011626288100028843,0.0008138401670020191
persistence,CAP-7,Longitudinal,470,-0.16289661476352132,-3.310751298125821,0.0009304586439230866,0.0032566052537308034
temporal_fraction,CAP-1,Longitudinal,470,-0.0036549492011728585,-0.9603883637809215,0.3368597922749792,0.47160370918497085
temporal_fraction,CAP-2,Longitudinal,470,0.0010115418555242462,0.3415979934785938,0.7326534474390327,0.7326534474390327
temporal_fraction,CAP-3,Longitudinal,470,0.0015334738095395509,0.5123115975752006,0.6084329497538842,0.7098384413795316
temporal_fraction,CAP-4,Longitudinal,470,0.0185757347220307,5.268647297878751,1.3743273845146593e-07,4.810145845801307e-07
temporal_fraction,CAP-5,Longitudinal,470,0.01797002878574202,5.07248361456113,3.9265695475883293e-07,8.784615600099415e-07
temporal_fraction,CAP-6,Longitudinal,470,-0.018421970559463794,-5.97206488795785,2.342693108869308e-09,1.6398851762085157e-08
temporal_fraction,CAP-7,Longitudinal,470,-0.017139908994734342,-5.025555243626968,5.019780342913951e-07,8.784615600099415e-07
