Group,CAP,ROI,TemplateValue
All Subjects,CAP-1,A44v_l,0.09776218980550766
All Subjects,CAP-2,A44v_l,-0.4733832776546478
All Subjects,CAP-3,A44v_l,0.3290165960788727
All Subjects,CAP-4,A44v_l,0.3161419630050659
All Subjects,CAP-5,A44v_l,-0.359658420085907
All Subjects,CAP-6,A44v_l,-0.560905933380127
All Subjects,CAP-7,A44v_l,0.5711567401885986
All Subjects,CAP-1,A44v_r,-0.21193952858448029
All Subjects,CAP-2,A44v_r,-0.35570186376571655
All Subjects,CAP-3,A44v_r,0.37771257758140564
All Subjects,CAP-4,A44v_r,0.6598503589630127
All Subjects,CAP-5,A44v_r,-0.598109245300293
All Subjects,CAP-6,A44v_r,-0.39848437905311584
All Subjects,CAP-7,A44v_r,0.4562028646469116
All Subjects,CAP-1,A14m_l,0.17555125057697296
All Subjects,CAP-2,A14m_l,0.32442036271095276
All Subjects,CAP-3,A14m_l,-0.4529753029346466
All Subjects,CAP-4,A14m_l,-0.8380845189094543
All Subjects,CAP-5,A14m_l,0.8308715224266052
All Subjects,CAP-6,A14m_l,-0.40970513224601746
All Subjects,CAP-7,A14m_l,0.25891172885894775
All Subjects,CAP-1,A14m_r,-0.12892422080039978
All Subjects,CAP-2,A14m_r,0.5374157428741455
All Subjects,CAP-3,A14m_r,-0.47974783182144165
All Subjects,CAP-4,A14m_r,-0.788410484790802
All Subjects,CAP-5,A14m_r,0.8338754177093506
All Subjects,CAP-6,A14m_r,-0.44142773747444153
All Subjects,CAP-7,A14m_r,0.30978450179100037
All Subjects,CAP-1,A12//47o_l,0.22667913138866425
All Subjects,CAP-2,A12//47o_l,-0.1976819485425949
All Subjects,CAP-3,A12//47o_l,-0.0022861503530293703
All Subjects,CAP-4,A12//47o_l,-0.678786039352417
All Subjects,CAP-5,A12//47o_l,0.5920557975769043
All Subjects,CAP-6,A12//47o_l,-0.5668646097183228
All Subjects,CAP-7,A12//47o_l,0.49272724986076355
All Subjects,CAP-1,A12\/47o_r,-0.009254394099116325
All Subjects,CAP-2,A12\/47o_r,-0.16290025413036346
All Subjects,CAP-3,A12\/47o_r,0.10201691836118698
All Subjects,CAP-4,A12\/47o_r,-0.756084144115448
All Subjects,CAP-5,A12\/47o_r,0.6918908953666687
All Subjects,CAP-6,A12\/47o_r,-0.5478541851043701
All Subjects,CAP-7,A12\/47o_r,0.5047563910484314
All Subjects,CAP-1,A11l_l,-0.07796350866556168
All Subjects,CAP-2,A11l_l,-0.16532957553863525
All Subjects,CAP-3,A11l_l,0.15736332535743713
All Subjects,CAP-4,A11l_l,-0.1070503443479538
All Subjects,CAP-5,A11l_l,0.09309442341327667
All Subjects,CAP-6,A11l_l,-0.37467336654663086
All Subjects,CAP-7,A11l_l,0.3741239011287689
All Subjects,CAP-1,A11l_r,-0.15703274309635162
All Subjects,CAP-2,A11l_r,-0.11055677384138107
All Subjects,CAP-3,A11l_r,0.12969131767749786
All Subjects,CAP-4,A11l_r,-0.26350516080856323
All Subjects,CAP-5,A11l_r,0.26065611839294434
All Subjects,CAP-6,A11l_r,-0.4750526249408722
All Subjects,CAP-7,A11l_r,0.47194400429725647
All Subjects,CAP-1,A11m_l,0.3439890146255493
All Subjects,CAP-2,A11m_l,-0.06392033398151398
All Subjects,CAP-3,A11m_l,-0.1991494745016098
All Subjects,CAP-4,A11m_l,-0.6772286295890808
All Subjects,CAP-5,A11m_l,0.6295318603515625
All Subjects,CAP-6,A11m_l,-0.3856850564479828
All Subjects,CAP-7,A11m_l,0.2758132517337799
All Subjects,CAP-1,A11m_r,0.22281375527381897
All Subjects,CAP-2,A11m_r,0.0800023302435875
All Subjects,CAP-3,A11m_r,-0.2575046420097351
All Subjects,CAP-4,A11m_r,-0.7339630126953125
All Subjects,CAP-5,A11m_r,0.7153738737106323
All Subjects,CAP-6,A11m_r,-0.3720126450061798
All Subjects,CAP-7,A11m_r,0.24835248291492462
