CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,CAP_6,CAP_7
0.9991034637295498,0.9989085657262217,0.998634955155948,0.9995056196214521,0.9993188250492286,0.9970682910573768,0.9983712027693267
0.9986132533151215,0.9979781215675642,0.9986720485315163,0.9997738402315751,0.9999252823414608,0.9984027484288232,0.9991571148658819
0.9976177393696858,0.9996316775404446,0.9972235024941133,0.9996986917925728,0.9996703042095288,0.9983835676615636,0.9994865608128743
0.9959199305410398,0.9987983510241196,0.9986545144881068,0.9997716029721904,0.999846086251387,0.9993388430824542,0.9993020909035758
0.9988473578514002,0.9983619925690378,0.9994534257737668,0.9999229143642461,0.9999119987323422,0.9997997972036359,0.9995311938558958
0.9958803032046731,0.9988110852329932,0.9987818480281061,0.999933403624831,0.9998799084937852,0.9985845010856441,0.9984980335318603
0.9994351791339121,0.9990641423808538,0.9997444319834041,0.9999145017456503,0.9998989708981382,0.9997573884260922,0.9998264181408627
0.9958390088548724,0.9989607751168484,0.9974406683145788,0.9998726321922313,0.9998754661510361,0.997939403815463,0.9990488194692575
0.9906750928440243,0.9963846898040415,0.9944847085330731,0.999664185310047,0.9995558675614367,0.9979017982310477,0.9975174532805037
0.9978090881573193,0.9988332020252104,0.9994304195367041,0.9999604774231452,0.9999107490335252,0.9998435640000872,0.9997905201072452
0.9991501832192025,0.999022284352364,0.9995700511133041,0.9999489554571823,0.999950613130671,0.9997291270931017,0.9997648827530281
0.9996187061580497,0.997670513213059,0.9990714015822193,0.9998962366570997,0.9997573588729344,0.9997276675592247,0.9998493198660747
0.998235279522348,0.9971523547620657,0.9994908066067043,0.9997478527621529,0.9998443227266833,0.9991248707468442,0.9994282599215456
0.9981954090624141,0.9993401585627062,0.9989142046197678,0.9998754518599099,0.9999492661703547,0.9983780463295142,0.9993618537974095
0.9984836963287765,0.9970549514934091,0.9994671379239837,0.9997540495254292,0.9999306568200315,0.9995290267384038,0.9998430228051269
0.999567229534368,0.999289544738572,0.9991297514503072,0.9999038289770391,0.9998899067741794,0.9991864783494334,0.9994868806147595
0.9992234556693592,0.9991304321142778,0.9994078701467587,0.9998541761912634,0.9998753806358198,0.9997872260816278,0.999725109697265
0.9994921975211489,0.9988981232352274,0.9996326838945352,0.9999360897909668,0.9999296819169209,0.9998802420462858,0.9998980573035985
0.9997953115574624,0.9994359025811544,0.9998304126987164,0.9999650507523495,0.9999698248257672,0.9998780726593108,0.9998718785894042
0.998180767746165,0.9993140208535882,0.997520239480204,0.9990382420394703,0.9991890603980349,0.9958741868205059,0.9958421052277683
0.999345622061681,0.9996568319908666,0.9992040816239366,0.9998180195098305,0.9998576175567008,0.9994014158234604,0.9994484551776599
0.9987166035084695,0.9959774022002054,0.9996714286060624,0.9997565318441589,0.9995556135781711,0.9998084673548631,0.9991203998475248
0.9989759396428891,0.9985680531186008,0.9995080420426327,0.9997657466064118,0.9997070741567321,0.99921673153824,0.998834509318216
0.9992285886862957,0.9969774542777933,0.999422824534751,0.9997852010858881,0.9999177823431697,0.9992782929469267,0.999814420123129
