Feature,feature_base,Gender_Cohort,N_subcohort,beta_interaction,p_interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
counts_CAP-6,counts_CAP-6,Gender_1,234,0.7976492065187996,0.5302073403951773,-0.5683467459117687,0.5511991814966768,0.22930246060703086,0.7859249973184228,-0.1778931778808897,0.8679555551510736,0.6197560286379098,0.56072598988401,counts,0.6185752304610401,0.6430657117461229,0.9548073301473214,0.8679555551510736,0.785016385837614
counts_CAP-6,counts_CAP-6,Gender_2,202,0.9300781044294851,0.515754847457989,-3.592457442283743,0.0024710458813848035,-2.662379337854258,0.0008565161784412911,-0.2386250302557396,0.8499442884874147,0.6914530741737455,0.5803558390361296,counts,0.7220567864411847,0.017297321169693625,0.002997806624544519,0.8499442884874147,0.646702061061516
counts_CAP-7,counts_CAP-7,Gender_1,234,1.2752241029875444,0.3937728984365506,-1.0661214569165844,0.3421673367382416,0.20910264607095996,0.8331044498853535,-1.0113927081374747,0.38961432439667476,0.2638313948500697,0.8217091068139799,counts,0.6154992218178509,0.4790342714335383,0.9548073301473214,0.8679555551510736,0.8516679984033539
counts_CAP-7,counts_CAP-7,Gender_2,202,1.5499250269263165,0.2564745192114929,-2.6786103509422867,0.01802103272774569,-1.1286853240159702,0.13885309171254745,-0.6075750516600018,0.6021217738277873,0.9423499752663147,0.41478411047649066,counts,0.5984405448268167,0.042049076364739944,0.24299291049695804,0.8499442884874147,0.646702061061516
persistence_CAP-1,persistence_CAP-1,Gender_1,234,-0.03432506328682099,0.7369547396896223,-0.013996103090166136,0.8552121863297784,-0.04832116637698713,0.4760973761226772,0.05644081647098415,0.4788942097829656,0.02211575318416316,0.7805503559553146,persistence,0.8940832870343867,0.9638159487021019,0.6665363265717481,0.8926672798502212,0.7805503559553146
persistence_CAP-1,persistence_CAP-1,Gender_2,202,-0.10442262538812211,0.4708320748849135,0.023824772279169067,0.8425167089202632,-0.08059785310895304,0.3203566359355994,-0.07309480236897878,0.48154509594008665,-0.1775174277571009,0.08510596809014626,persistence,0.5493040873657324,0.88003011180495,0.44558675228749256,0.9875043036718778,0.5414760877617856
persistence_CAP-2,persistence_CAP-2,Gender_1,234,-0.016528858467525828,0.8790504200865277,-0.003699101876429992,0.9638159487021019,-0.02022796034395582,0.7787095997750595,-0.04303989262051467,0.578047116585152,-0.059568751088040495,0.43968622021961057,persistence,0.8940832870343867,0.9638159487021019,0.8504552529461988,0.8926672798502212,0.682528512640572
persistence_CAP-2,persistence_CAP-2,Gender_2,202,-0.09413326867259023,0.38027234941195176,0.04169962033667521,0.6390976738181584,-0.05243364833591502,0.3819315019607079,0.020418420984734353,0.8140932615098297,-0.07371484768785587,0.3920829174311733,persistence,0.5493040873657324,0.88003011180495,0.44558675228749256,0.9875043036718778,0.5489160844036426
persistence_CAP-3,persistence_CAP-3,Gender_1,234,-0.04496291419675446,0.7427851390806905,-0.06892019198618525,0.5028121225960764,-0.1138831061829397,0.20976777180535633,0.110372283257024,0.25751347571021466,0.06540936906026953,0.5006184331083157,persistence,0.8940832870343867,0.9638159487021019,0.5494278734476862,0.8926672798502212,0.682528512640572
persistence_CAP-3,persistence_CAP-3,Gender_2,202,-0.12616951694866987,0.3274986659328628,0.14904396452973534,0.16279434836505113,0.022874447581065466,0.7508429784051565,0.09126716186168306,0.3713085933227256,-0.03490235508698682,0.7303112491181847,persistence,0.5493040873657324,0.8330174016057974,0.7508429784051565,0.9875043036718778,0.7574412217959043
persistence_CAP-4,persistence_CAP-4,Gender_1,234,0.07840883941323114,0.6754219711630447,-0.0550094283439966,0.6955606511732715,0.023399411069234537,0.8504552529461988,-0.005929747062706039,0.9645008904428654,0.0724790923505251,0.5850244394062045,persistence,0.8940832870343867,0.9638159487021019,0.8504552529461988,0.9645008904428654,0.682528512640572
persistence_CAP-4,persistence_CAP-4,Gender_2,202,0.13938377054186638,0.4659295185484621,0.11502524614264842,0.46748938209181357,0.25440901668451477,0.017501963002148013,-0.09734726196402958,0.47769455453015874,0.04203650857783679,0.7574412217959043,persistence,0.5493040873657324,0.8330174016057974,0.061256870507518046,0.9875043036718778,0.7574412217959043
persistence_CAP-5,persistence_CAP-5,Gender_1,234,0.16814672780411297,0.3679183779433355,-0.021311560312616076,0.8791748575807019,0.1468351674914969,0.23546908862043692,0.093783494660847,0.48028194310019856,0.26193022246495995,0.04784396961251236,persistence,0.8940832870343867,0.9638159487021019,0.5494278734476862,0.8926672798502212,0.3349077872875865
persistence_CAP-5,persistence_CAP-5,Gender_2,202,0.13927400776211904,0.45872511594987253,-0.023508245988296095,0.88003011180495,0.11576576177382294,0.2707840824949277,-0.012575323671458779,0.932087802382493,0.12669868409066026,0.38678613005547446,persistence,0.5493040873657324,0.88003011180495,0.44558675228749256,0.9875043036718778,0.5489160844036426
persistence_CAP-6,persistence_CAP-6,Gender_1,234,0.19565196294138346,0.17457472590483125,-0.33747573965362027,0.001811798823980304,-0.1418237767122368,0.13754917177435289,-0.0306284206848968,0.765143382728761,0.16502354225648666,0.10619415309436242,persistence,0.8940832870343867,0.012682591767862128,0.5494278734476862,0.8926672798502212,0.37167953583026847
persistence_CAP-6,persistence_CAP-6,Gender_2,202,-0.08687526774755455,0.6130023555581817,-0.1014095574046075,0.4760099437747414,-0.18828482515216205,0.05016142345781738,-0.06786387651835962,0.598698907419942,-0.15473914426591417,0.226585437945642,persistence,0.6130023555581817,0.8330174016057974,0.11704332140157389,0.9875043036718778,0.5414760877617856
persistence_CAP-7,persistence_CAP-7,Gender_1,234,0.017842716149151606,0.8940832870343867,-0.10221270565554044,0.309581359649735,-0.08436998950638884,0.34258929462296495,0.04153178937644421,0.6830369574950903,0.05937450552559581,0.5577894808950459,persistence,0.8940832870343867,0.9638159487021019,0.5995312655901887,0.8926672798502212,0.682528512640572
persistence_CAP-7,persistence_CAP-7,Gender_2,202,-0.15304600314304562,0.3605477160903765,-0.141677933155898,0.30702622392359347,-0.2947239362989436,0.0016429996012177206,-0.0020488144783372283,0.9875043036718778,-0.15509481762138286,0.23206118046933666,persistence,0.5493040873657324,0.8330174016057974,0.011500997208524044,0.9875043036718778,0.5414760877617856
temporal_fraction_CAP-1,temporal_fraction_CAP-1,Gender_1,234,-0.0015129207390986834,0.8896506181429837,-0.0004027729499166194,0.9607483597854334,-0.0019156936890153027,0.791273981909892,0.005248263921004487,0.5495607048588045,0.0037353431819058033,0.6688718472252526,temporal,0.8896506181429837,0.9607483597854334,0.791273981909892,0.8655863097355783,0.8281112936985371
temporal_fraction_CAP-1,temporal_fraction_CAP-1,Gender_2,202,-0.004419050848210057,0.7332255999671352,-0.005221139428721981,0.6267807418427132,-0.009640190276932038,0.18431637309030613,-0.0011959349968691873,0.8976674194628764,-0.005614985845079244,0.542984554829208,temporal,0.8671249291533052,0.6267807418427132,0.25804292232642856,0.9732356464001533,0.7601783767608913
temporal_fraction_CAP-2,temporal_fraction_CAP-2,Gender_1,234,-0.012220193067586937,0.15969411153493973,0.008033181421115638,0.21815170745225787,-0.004187011646471299,0.4677184783133024,-0.003238687631229382,0.6270877341927075,-0.015458880698816319,0.019887733789281326,temporal,0.3726195935815261,0.36314981808421476,0.5456715580321861,0.8655863097355783,0.13921413652496928
temporal_fraction_CAP-2,temporal_fraction_CAP-2,Gender_2,202,-0.021927237917479428,0.021083217267523317,0.018670065772693024,0.017816341294530247,-0.0032571721447864042,0.5398446251236886,0.011942485092141181,0.12312084329254036,-0.009984752825338247,0.19372664635349857,temporal,0.10232578357251552,0.041571463020570576,0.62981872931097,0.8618459030477825,0.6129645592326075
temporal_fraction_CAP-3,temporal_fraction_CAP-3,Gender_1,234,-0.012414605017407846,0.1468110436619878,0.005235660460136208,0.41487540062057926,-0.007178944557271638,0.20659256109012292,0.009676787812911817,0.18052369839931215,-0.0027378172044960295,0.7035654529139983,temporal,0.3726195935815261,0.4840213007240092,0.4820493092102868,0.8655863097355783,0.8281112936985371
temporal_fraction_CAP-3,temporal_fraction_CAP-3,Gender_2,202,-0.012780865471128347,0.18401585734510884,0.013730898341619927,0.08503716935103878,0.0009500328704915798,0.8597927653401067,0.004193741006779309,0.5873896372840264,-0.008587124464349038,0.26269909681397463,temporal,0.42937033380525397,0.11905203709145429,0.8597927653401067,0.8860784498436542,0.6129645592326075
temporal_fraction_CAP-4,temporal_fraction_CAP-4,Gender_1,234,-0.001979658504102223,0.8298605124647048,0.011898901272005404,0.08515245379412706,0.00991924276790318,0.10589361612114567,-0.0001498243237121708,0.9866128878436404,-0.0021294828278143937,0.8106643369071023,temporal,0.8896506181429837,0.19868905885296315,0.37062765642400985,0.9866128878436404,0.8281112936985371
