Group,Analysis_Type,Imaging_Feature,Clinical_Target,N,Spearman_r,p_value,Metric_Group,p_FDR,Significant_FDR
All_PD,Longitudinal,Delta_transition_probability_4.3,Delta_UPDRS,235,-0.006617482037425475,0.9203185186744672,transition_probability,0.939491821146852,No
All_PD,Longitudinal,Delta_transition_probability_4.2,Delta_UPDRS,235,-6.197652742023637e-05,0.9992525005813121,transition_probability,0.9992525005813121,No
Non-responder,Longitudinal,Delta_counts_CAP-3,Delta_UPDRS,93,0.27345369917172785,0.009516782805466495,counts,0.06661747963826548,No
Non-responder,Longitudinal,Delta_counts_CAP-5,Delta_UPDRS,93,-0.22584048369434356,0.0333344722498504,counts,0.08895096333824004,No
Non-responder,Longitudinal,Delta_counts_CAP-1,Delta_UPDRS,93,-0.22020228139791886,0.0381218414306743,counts,0.08895096333824004,No
Non-responder,Longitudinal,Delta_counts_CAP-6,Delta_UPDRS,93,0.19926102617061048,0.061196815942754695,counts,0.10709442789982072,No
Non-responder,Longitudinal,Delta_counts_CAP-7,Delta_UPDRS,93,0.1738649427735012,0.10320981197629406,counts,0.14449373676681168,No
Non-responder,Longitudinal,Delta_counts_CAP-2,Delta_UPDRS,93,0.11731579783887784,0.27356253425774624,counts,0.3191562899673706,No
Non-responder,Longitudinal,Delta_counts_CAP-4,Delta_UPDRS,93,-0.009719771046768072,0.9279677764959077,counts,0.9279677764959077,No
Non-responder,Longitudinal,Delta_persistence_CAP-4,Delta_UPDRS,93,-0.2242789010926512,0.03460684413093883,persistence,0.2422479089165718,No
Non-responder,Longitudinal,Delta_persistence_CAP-2,Delta_UPDRS,93,0.1503330584372102,0.15966602934922516,persistence,0.44122722862612274,No
Non-responder,Longitudinal,Delta_persistence_CAP-1,Delta_UPDRS,93,0.13111709058905185,0.22066366294705633,persistence,0.44122722862612274,No
Non-responder,Longitudinal,Delta_persistence_CAP-3,Delta_UPDRS,93,-0.12266504750878753,0.252129844929213,persistence,0.44122722862612274,No
Non-responder,Longitudinal,Delta_persistence_CAP-7,Delta_UPDRS,93,-0.08884381455238209,0.4077037573532383,persistence,0.5707852602945337,No
Non-responder,Longitudinal,Delta_persistence_CAP-6,Delta_UPDRS,93,-0.0723047893302987,0.5007174597952351,persistence,0.5841703697611076,No
Non-responder,Longitudinal,Delta_persistence_CAP-5,Delta_UPDRS,93,0.019311392026234574,0.8574472963107401,persistence,0.8574472963107401,No
Non-responder,Longitudinal,Delta_temporal_fraction_CAP-5,Delta_UPDRS,93,-0.17983716807078204,0.09172351817763494,temporal,0.30566534239044374,No
